Model,Collection,Field,InlineType,CatalogType,Required,Readonly
agileScheme,project_status,id,id,number,false,true
agileScheme,sprint_status,id,id,number,false,true
agileScheme,story_status,id,id,number,false,true
agileScheme,task_status,id,id,number,false,true
agileScheme,bug_status,id,id,number,false,true
agileScheme,bug_severity,id,id,number,false,true
agileScheme,priority,id,id,number,false,true
agileScheme,member_role,id,id,number,false,true
agileScheme,milestone_status,id,id,number,false,true
agileScheme,team_member,id,id,number,false,true
agileScheme,team_member,avatar,image,text,false,false
agileScheme,project,id,id,number,false,true
agileScheme,project,description,text-lg,text-block,false,false
agileScheme,project,icon,image,icon,false,false
agileScheme,project_member,id,id,number,false,true
agileScheme,label,id,id,number,false,true
agileScheme,epic,id,id,number,false,true
agileScheme,epic,description,text-lg,text-block,false,false
agileScheme,milestone,id,id,number,false,true
agileScheme,milestone,description,text-lg,text-block,false,false
agileScheme,release,id,id,number,false,true
agileScheme,release,version,text,number,true,false
agileScheme,sprint,id,id,number,false,true
agileScheme,story,id,id,number,false,true
agileScheme,story,description,text-lg,text-block,false,false
agileScheme,story_label,id,id,number,false,true
agileScheme,task,id,id,number,false,true
agileScheme,task,description,text-lg,text-block,false,false
agileScheme,bug,id,id,number,false,true
agileScheme,bug,description,text-lg,text-block,false,false
agileScheme,worklog,id,id,number,false,true
agileScheme,worklog,description,text-lg,text-block,false,false
agileScheme,comment,id,id,number,false,true
agileScheme,attachment,id,id,number,false,true
blogcmsScheme,post_status,id,id,number,false,true
blogcmsScheme,comment_status,id,id,number,false,true
blogcmsScheme,page_template,id,id,number,false,true
blogcmsScheme,category,id,id,number,false,true
blogcmsScheme,category,description,text-lg,text-block,false,false
blogcmsScheme,tag,id,id,number,false,true
blogcmsScheme,author,id,id,number,false,true
blogcmsScheme,author,avatar,image,text,false,false
blogcmsScheme,media,id,id,number,false,true
blogcmsScheme,post,id,id,number,false,true
blogcmsScheme,post_tag,id,id,number,false,true
blogcmsScheme,page,id,id,number,false,true
blogcmsScheme,comment,id,id,number,false,true
boutiqueScheme,order_status,id,id,number,false,true
boutiqueScheme,payment_status,id,id,number,false,true
boutiqueScheme,product_status,id,id,number,false,true
boutiqueScheme,cart_status,id,id,number,false,true
boutiqueScheme,payment_method,id,id,number,false,true
boutiqueScheme,address_type,id,id,number,false,true
boutiqueScheme,currency,id,id,number,false,true
boutiqueScheme,brand,id,id,number,false,true
boutiqueScheme,brand,description,text-lg,text-block,false,false
boutiqueScheme,category,id,id,number,false,true
boutiqueScheme,category,description,text-lg,text-block,false,false
boutiqueScheme,product,id,id,number,false,true
boutiqueScheme,product,description,text-lg,text-block,false,false
boutiqueScheme,variant,id,id,number,false,true
boutiqueScheme,product_image,id,id,number,false,true
boutiqueScheme,product_image,url,image,url,true,false
boutiqueScheme,address,id,id,number,false,true
boutiqueScheme,customer_address,id,id,number,false,true
boutiqueScheme,customer,id,id,number,false,true
boutiqueScheme,customer,phone,phone,text,false,false
boutiqueScheme,cart,id,id,number,false,true
boutiqueScheme,cart_item,id,id,number,false,true
boutiqueScheme,order,id,id,number,false,true
boutiqueScheme,order,total,currency,number,true,false
boutiqueScheme,order_item,id,id,number,false,true
boutiqueScheme,payment,id,id,number,false,true
boutiqueScheme,shipping_method,id,id,number,false,true
boutiqueScheme,coupon,id,id,number,false,true
boutiqueScheme,review,id,id,number,false,true
comixScheme,page_status,id,id,number,false,true
comixScheme,issue_status,id,id,number,false,true
comixScheme,credit_role,id,id,number,false,true
comixScheme,panel_shape,id,id,number,false,true
comixScheme,bubble_type,id,id,number,false,true
comixScheme,genre,id,id,number,false,true
comixScheme,publisher,id,id,number,false,true
comixScheme,creator,id,id,number,false,true
comixScheme,series,id,id,number,false,true
comixScheme,series_genre,id,id,number,false,true
comixScheme,character,id,id,number,false,true
comixScheme,location,id,id,number,false,true
comixScheme,location,description,text-lg,text-block,false,false
comixScheme,issue,id,id,number,false,true
comixScheme,issue_credit,id,id,number,false,true
comixScheme,script,id,id,number,false,true
comixScheme,page,id,id,number,false,true
comixScheme,panel,id,id,number,false,true
comixScheme,panel,description,text-lg,text-block,false,false
comixScheme,panel_character,id,id,number,false,true
comixScheme,bubble,id,id,number,false,true
comixScheme,asset,id,id,number,false,true
comixScheme,revision,id,id,number,false,true
crfrScheme,app_conf,id,id,number,false,true
crfrScheme,app_daemon,id,id,number,false,true
crfrScheme,app_version,id,id,number,false,true
crfrScheme,app_version_file,id,id,number,false,true
crfrScheme,conge,id,id,number,false,true
crfrScheme,conge_statut,id,id,number,false,true
crfrScheme,conge_type,id,id,number,false,true
crfrScheme,document_extension,id,id,number,false,true
crfrScheme,document_type,id,id,number,false,true
crfrScheme,note,id,id,number,false,true
crfrScheme,tache,id,id,number,false,true
crfrScheme,tache,description,text-long,text-block,false,false
crfrScheme,tache_statut,id,id,number,false,true
crfrScheme,tache_statut,icon,text,icon,false,false
crfrScheme,tache_type,id,id,number,false,true
crfrScheme,tache_type,icon,text,icon,false,false
crfrScheme,todo,id,id,number,false,true
crfrScheme,type_activite,id,id,number,false,true
crfrScheme,type_activite,description,text,text-block,false,false
crfrScheme,user_list,id,id,number,false,true
crfrScheme,user_note,id,id,number,false,true
crfrScheme,user_table,id,id,number,false,true
crfrScheme,user_tuile,id,id,number,false,true
crfrScheme,vacance,id,id,number,false,true
crfrScheme,vacance,description,text,text-block,false,false
crfrScheme,client,id,id,number,false,true
crfrScheme,client,phone,phone,text,false,false
crfrScheme,client_type,id,id,number,false,true
crfrScheme,devis,id,id,number,false,true
crfrScheme,devis,description,text-long,text-block,false,false
crfrScheme,devis,phone,phone,text,false,false
crfrScheme,devis_acompte,id,id,number,false,true
crfrScheme,devis_acompte_type,id,id,number,false,true
crfrScheme,devis_annotation,id,id,number,false,true
crfrScheme,devis_envie,id,id,number,false,true
crfrScheme,devis_mail,id,id,number,false,true
crfrScheme,devis_marge,id,id,number,false,true
crfrScheme,devis_marge_type,id,id,number,false,true
crfrScheme,devis_passager,id,id,number,false,true
crfrScheme,devis_passager,phone,phone,text,false,false
crfrScheme,devis_prestation,id,id,number,false,true
crfrScheme,devis_prestation,description,text-long,text-block,false,false
crfrScheme,devis_prestation,total,currency,number,false,false
crfrScheme,devis_statut,id,id,number,false,true
crfrScheme,devis_type,id,id,number,false,true
crfrScheme,devis_type,description,text,text-block,false,false
crfrScheme,document,id,id,number,false,true
crfrScheme,dossier_devis,id,id,number,false,true
crfrScheme,facture,id,id,number,false,true
crfrScheme,facture,total,currency,number,false,false
crfrScheme,facture_ligne,id,id,number,false,true
crfrScheme,facture_type,id,id,number,false,true
crfrScheme,paiement,id,id,number,false,true
crfrScheme,prestataire,id,id,number,false,true
crfrScheme,prestataire,phone,phone,text,false,false
crfrScheme,prestataire,fax,phone,text,false,false
crfrScheme,prestataire,description,text,text-block,false,false
crfrScheme,newsletter,id,id,number,false,true
crfrScheme,newsletter,description,text-long,text-block,false,false
crfrScheme,newsletter,content,text-long,text,false,false
crfrScheme,newsletter_block,id,id,number,false,true
crfrScheme,newsletter_item,id,id,number,false,true
crfrScheme,newsletter_item,description,text-long,text-block,false,false
crfrScheme,newsletter_item_type,id,id,number,false,true
crfrScheme,newsletter_type,id,id,number,false,true
crfrScheme,aeroport,id,id,number,false,true
crfrScheme,aeroport,description,text-long,text-block,false,false
crfrScheme,aeroport,image,text,image,false,false
crfrScheme,asavoir,id,id,number,false,true
crfrScheme,asavoir,description,text,text-block,false,false
crfrScheme,asavoir_type,id,id,number,false,true
crfrScheme,asavoir_type,description,text,text-block,false,false
crfrScheme,continent,id,id,number,false,true
crfrScheme,continent,description,text-long,text-block,false,false
crfrScheme,destination,id,id,number,false,true
crfrScheme,destination,description,text-long,text-block,false,false
crfrScheme,fleuve,id,id,number,false,true
crfrScheme,fleuve,image,text,image,false,false
crfrScheme,fleuve,description,text-long,text-block,false,false
crfrScheme,fleuve_type,id,id,number,false,true
crfrScheme,fournisseur,id,id,number,false,true
crfrScheme,fournisseur,description,text-long,text-block,false,false
crfrScheme,fournisseur_clause,id,id,number,false,true
crfrScheme,fournisseur_clause_type,id,id,number,false,true
crfrScheme,fournisseur_presentation,id,id,number,false,true
crfrScheme,fournisseur_presentation,description,text-long,text-block,false,false
crfrScheme,fournisseur_presentation_type,id,id,number,false,true
crfrScheme,fournisseur_presentation_type,description,text-long,text-block,false,false
crfrScheme,fournisseur_type,id,id,number,false,true
crfrScheme,gamme,id,id,number,false,true
crfrScheme,gamme,image,text,image,false,false
crfrScheme,gamme,description,text-long,text-block,false,false
crfrScheme,hotel,id,id,number,false,true
crfrScheme,hotel,image,text,image,false,false
crfrScheme,hotel,description,text,text-block,false,false
crfrScheme,hotel_clause,id,id,number,false,true
crfrScheme,hotel_clause,description,text-long,text-block,false,false
crfrScheme,hotel_gamme,id,id,number,false,true
crfrScheme,hotel_type,id,id,number,false,true
crfrScheme,hotel_type,description,text,text-block,false,false
crfrScheme,mer,id,id,number,false,true
crfrScheme,mer,image,text,image,false,false
crfrScheme,mer,description,text-long,text-block,false,false
crfrScheme,mer_type,id,id,number,false,true
crfrScheme,pays,id,id,number,false,true
crfrScheme,pays,image,text,image,false,false
crfrScheme,pays,description,text,text-block,false,false
crfrScheme,produit,id,id,number,false,true
crfrScheme,produit,description,text,text-block,false,false
crfrScheme,produit_etape,id,id,number,false,true
crfrScheme,produit_etape,image,text,image,false,false
crfrScheme,produit_etape,description,text-long,text-block,false,false
crfrScheme,produit_selection,id,id,number,false,true
crfrScheme,produit_selection,description,text,text-block,false,false
crfrScheme,produit_tarif,id,id,number,false,true
crfrScheme,produit_tarif_gamme,id,id,number,false,true
crfrScheme,produit_tarif_gamme_type,id,id,number,false,true
crfrScheme,produit_type,id,id,number,false,true
crfrScheme,produit_type,description,text,text-block,false,false
crfrScheme,produit_type_type,id,id,number,false,true
crfrScheme,theme,id,id,number,false,true
crfrScheme,theme,description,text,text-block,false,false
crfrScheme,theme_type,id,id,number,false,true
crfrScheme,transport,id,id,number,false,true
crfrScheme,transport,description,text-long,text-block,false,false
crfrScheme,transport_cabine,id,id,number,false,true
crfrScheme,transport_cabine,description,text-long,text-block,false,false
crfrScheme,transport_gamme,id,id,number,false,true
crfrScheme,transport_pont,id,id,number,false,true
crfrScheme,transport_presentation,id,id,number,false,true
crfrScheme,transport_presentation_type,id,id,number,false,true
crfrScheme,transport_type,id,id,number,false,true
crfrScheme,ville,id,id,number,false,true
crfrScheme,ville,description,text-long,text-block,false,false
crfrScheme,ville,latitude,text,number,false,false
crfrScheme,ville,longitude,text,number,false,false
crfrScheme,article,id,id,number,false,true
crfrScheme,article,description,text,text-block,false,false
crfrScheme,article,content,text-long,text,false,false
crfrScheme,article,thumbnail,text,image,false,false
crfrScheme,article_type,id,id,number,false,true
crfrScheme,categorie,id,id,number,false,true
crfrScheme,categorie,description,text,text-block,false,false
crfrScheme,site,id,id,number,false,true
crfrScheme,site_type,id,id,number,false,true
crfrScheme,daemon,id,id,number,false,true
crfrScheme,appsite,id,id,number,false,true
crfrScheme,appsite_page,id,id,number,false,true
crfrScheme,appsite_page_ligne,id,id,number,false,true
crfrScheme,appsite_page_type,id,id,number,false,true
crfrScheme,appsite_template,id,id,number,false,true
crfrScheme,appsite_template,description,text-long,text-block,false,false
crfrScheme,appsite_template_type,id,id,number,false,true
crfrScheme,feed_header,id,id,number,false,true
crfrScheme,feed_header,description,text-long,text-block,false,false
crfrScheme,xml_conf,id,id,number,false,true
crfrScheme,xml_cruise,id,id,number,false,true
crfrScheme,xml_destination,id,id,number,false,true
crfrScheme,xml_itinerary,id,id,number,false,true
crfrScheme,xml_job,id,id,number,false,true
crfrScheme,xml_price,id,id,number,false,true
crfrScheme,xml_ville,id,id,number,false,true
demoScheme,category,id,id,number,false,true
demoScheme,category,description,text-lg,text-block,false,false
demoScheme,location_office,id,id,number,false,true
demoScheme,location_office,phone,phone,text,false,false
demoScheme,supplier,id,id,number,false,true
demoScheme,supplier,phone,phone,text,false,false
demoScheme,seller,id,id,number,false,true
demoScheme,seller,phone,phone,text,false,false
demoScheme,seller,status,text,status,false,false
demoScheme,vehicle,id,id,number,false,true
demoScheme,vehicle,status,text,status,false,false
demoScheme,vehicle_acquisition,id,id,number,false,true
demoScheme,insurance,id,id,number,false,true
demoScheme,insurance,status,text,status,false,false
demoScheme,maintenance,id,id,number,false,true
demoScheme,maintenance,status,text,status,false,false
demoScheme,fuel_log,id,id,number,false,true
demoScheme,customer,id,id,number,false,true
demoScheme,customer,phone,phone,text,false,false
demoScheme,pricing_rule,id,id,number,false,true
demoScheme,rental,id,id,number,false,true
demoScheme,rental,status,text,status,false,false
demoScheme,damage_report,id,id,number,false,true
demoScheme,damage_report,description,text-lg,text-block,true,false
demoScheme,damage_report,status,text,status,false,false
demoScheme,lead,id,id,number,false,true
demoScheme,lead,phone,phone,text,false,false
demoScheme,lead,status,text,status,false,false
demoScheme,sale_task,id,id,number,false,true
demoScheme,sale_task,status,text,status,false,false
factoryScheme,item_type,id,id,number,false,true
factoryScheme,work_order_status,id,id,number,false,true
factoryScheme,po_status,id,id,number,false,true
factoryScheme,lot_status,id,id,number,false,true
factoryScheme,qc_result,id,id,number,false,true
factoryScheme,uom,id,id,number,false,true
factoryScheme,machine_status,id,id,number,false,true
factoryScheme,item,id,id,number,false,true
factoryScheme,item,description,text-lg,text-block,false,false
factoryScheme,supplier,id,id,number,false,true
factoryScheme,supplier,phone,phone,text,false,false
factoryScheme,supplier_item,id,id,number,false,true
factoryScheme,bom,id,id,number,false,true
factoryScheme,bom,version,text,number,false,false
factoryScheme,bom_line,id,id,number,false,true
factoryScheme,work_center,id,id,number,false,true
factoryScheme,machine,id,id,number,false,true
factoryScheme,routing,id,id,number,false,true
factoryScheme,operation,id,id,number,false,true
factoryScheme,work_order,id,id,number,false,true
factoryScheme,wo_operation,id,id,number,false,true
factoryScheme,material_consumption,id,id,number,false,true
factoryScheme,warehouse,id,id,number,false,true
factoryScheme,stock_location,id,id,number,false,true
factoryScheme,lot,id,id,number,false,true
factoryScheme,stock_move,id,id,number,false,true
factoryScheme,purchase_order,id,id,number,false,true
factoryScheme,purchase_order,total,currency,number,false,false
factoryScheme,po_line,id,id,number,false,true
factoryScheme,quality_check,id,id,number,false,true
flixScheme,title_type,id,id,number,false,true
flixScheme,role_type,id,id,number,false,true
flixScheme,age_rating,id,id,number,false,true
flixScheme,subscription_status,id,id,number,false,true
flixScheme,video_quality,id,id,number,false,true
flixScheme,language,id,id,number,false,true
flixScheme,genre,id,id,number,false,true
flixScheme,studio,id,id,number,false,true
flixScheme,person,id,id,number,false,true
flixScheme,title,id,id,number,false,true
flixScheme,title_genre,id,id,number,false,true
flixScheme,title_studio,id,id,number,false,true
flixScheme,credit,id,id,number,false,true
flixScheme,season,id,id,number,false,true
flixScheme,episode,id,id,number,false,true
flixScheme,video_asset,id,id,number,false,true
flixScheme,audio_track,id,id,number,false,true
flixScheme,subtitle,id,id,number,false,true
flixScheme,plan,id,id,number,false,true
flixScheme,viewer,id,id,number,false,true
flixScheme,viewer,phone,phone,text,false,false
flixScheme,subscription,id,id,number,false,true
flixScheme,viewer_profile,id,id,number,false,true
flixScheme,viewer_profile,avatar,image,text,false,false
flixScheme,watchlist,id,id,number,false,true
flixScheme,watch_history,id,id,number,false,true
flixScheme,rating,id,id,number,false,true
hippoScheme,race_type,id,id,number,false,true
hippoScheme,race_discipline,id,id,number,false,true
hippoScheme,race_status,id,id,number,false,true
hippoScheme,track_surface,id,id,number,false,true
hippoScheme,going,id,id,number,false,true
hippoScheme,bet_type,id,id,number,false,true
hippoScheme,bet_status,id,id,number,false,true
hippoScheme,horse_gender,id,id,number,false,true
hippoScheme,racetrack,id,id,number,false,true
hippoScheme,track,id,id,number,false,true
hippoScheme,meeting,id,id,number,false,true
hippoScheme,stable,id,id,number,false,true
hippoScheme,stable,phone,phone,text,false,false
hippoScheme,owner,id,id,number,false,true
hippoScheme,owner,phone,phone,text,false,false
hippoScheme,trainer,id,id,number,false,true
hippoScheme,trainer,phone,phone,text,false,false
hippoScheme,jockey,id,id,number,false,true
hippoScheme,jockey,phone,phone,text,false,false
hippoScheme,horse,id,id,number,false,true
hippoScheme,race,id,id,number,false,true
hippoScheme,runner,id,id,number,false,true
hippoScheme,race_result,id,id,number,false,true
hippoScheme,punter,id,id,number,false,true
hippoScheme,punter,phone,phone,text,false,false
hippoScheme,bet,id,id,number,false,true
hippoScheme,bet_selection,id,id,number,false,true
hoteloScheme,booking_status,id,id,number,false,true
hoteloScheme,room_status,id,id,number,false,true
hoteloScheme,payment_status,id,id,number,false,true
hoteloScheme,housekeeping_status,id,id,number,false,true
hoteloScheme,bed_type,id,id,number,false,true
